,0,1,2,3,4,5,6,7,8,9
0,8,0,0,99,87,1,0,20,78,24
1,116,53,0,43,45,40,0,0,0,57
2,49,4,1,60,52,126,0,0,19,1
3,126,0,5,24,73,2,0,0,10,45
4,21,1,1,49,103,86,0,1,8,4
5,66,1,0,102,63,9,0,1,7,18
6,120,2,2,36,10,58,0,1,51,20
7,6,0,8,78,172,44,2,0,1,2
8,52,1,0,143,23,1,0,5,27,26
9,52,2,0,31,80,127,0,2,2,4
