,0,1,2,3,4,5,6,7,8,9
0,1,0,20,1,20,10,4,6,110,0
1,1,82,0,0,0,61,16,0,7,0
2,15,8,17,0,3,35,10,5,62,4
3,0,1,13,0,12,51,5,32,23,4
4,11,5,5,3,0,28,9,7,65,5
5,0,11,9,3,3,37,3,12,52,3
6,11,1,5,3,15,27,23,1,55,7
7,0,3,1,0,0,3,1,6,139,5
8,1,5,6,0,1,62,8,3,53,1
9,13,8,8,1,2,7,9,2,74,20
